time;PV Erzeugung [W];PV Erzeugung [kW];G(i);H_sun;T2m;WS10m;Int
20210121:1210;416,4;0,4164;480,1;18,89;7,97;5,66;0
20210121:1310;306,97;0,30697;357,72;16,56;8,15;5,45;0
20210121:1410;128,85;0,12885;161,99;12,06;8,22;5,59;0
20210121:1510;113,62;0,11362;147,03;5,77;8,01;5,03;0
20210121:1610;0;0;0;0;7,6;4,55;0
20210121:1710;0;0;0;0;7,3;4,28;0
20210121:1810;0;0;0;0;6,75;3,79;0
20210121:1910;0;0;0;0;7,13;4,97;0
20210121:2010;0;0;0;0;8;6,83;0
20210121:2110;0;0;0;0;8,8;7,79;0
20210121:2210;0;0;0;0;9,14;7,86;0
20210121:2310;0;0;0;0;9,38;8;0
20210122:0010;0;0;0;0;9,3;7,93;0
20210122:0110;0;0;0;0;8,97;7,66;0
20210122:0210;0;0;0;0;8,67;7,72;0
20210122:0310;0;0;0;0;8,05;7,1;0
20210122:0410;0;0;0;0;5,53;5,38;0
20210122:0510;0;0;0;0;4,05;2,62;0
20210122:0610;0;0;0;0;3,72;2,14;0
20210122:0710;0;0;0;0;3,44;2,28;0
20210122:0810;8,13;0,00813;20,01;5,44;3,39;2,21;0
20210122:0910;89,57;0,08957;116,77;11,85;3,76;2,14;0
20210122:1010;191,7;0,1917;229,18;16,51;4,51;2,07;0
20210122:1110;357,39;0,35739;414,19;19,02;5,41;2,55;0
20210122:1210;132,02;0,13202;165,25;19,12;6,23;3,52;0
20210122:1310;246,72;0,24672;290,88;16,8;6,55;3,31;0
20210122:1410;161,9;0,1619;197,93;12,3;6,62;2,83;0
20210122:1510;218,64;0,21864;265,85;6;6,13;1,66;0
20210122:1610;0;0;0;0;5,18;1,31;0
20210122:1710;0;0;0;0;3,66;1,1;0
20210122:1810;0;0;0;0;2,22;1,38;0
20210122:1910;0;0;0;0;1,57;1,45;0
20210122:2010;0;0;0;0;1,45;1,38;0
20210122:2110;0;0;0;0;0,9;1,52;0
20210122:2210;0;0;0;0;0,63;1,52;0
20210122:2310;0;0;0;0;1,05;1,24;0
20210123:0010;0;0;0;0;0,79;1,31;0
20210123:0110;0;0;0;0;0,26;1,79;0
20210123:0210;0;0;0;0;0,03;2;0
20210123:0310;0;0;0;0;0,14;2,21;0
20210123:0410;0;0;0;0;0,28;2,41;0
20210123:0510;0;0;0;0;0,58;2,55;0
20210123:0610;0;0;0;0;0,82;2,55;0
20210123:0710;0;0;0;0;1,15;3,17;0
20210123:0810;17,24;0,01724;32,34;5,6;1,46;3,1;0
20210123:0910;444;0,444;507,03;12,04;2,76;2,83;0
20210123:1010;588,24;0,58824;677,13;16,72;4,02;3,31;0
20210123:1110;649,28;0,64928;758,35;19,25;4,54;2,69;0
20210123:1210;655,55;0,65555;763,26;19,36;5,57;3,59;0
20210123:1310;395,54;0,39554;458,06;17,04;5,86;2,76;0
20210123:1410;272,16;0,27216;320,76;12,54;5,66;1,45;0
20210123:1510;7,44;0,00744;19,1;6,24;5,23;1,03;0
20210123:1610;0;0;0;0;4,14;1,66;0
20210123:1710;0;0;0;0;3,16;1,79;0
20210123:1810;0;0;0;0;2,52;1,79;0
20210123:1910;0;0;0;0;3,14;3,1;0
20210123:2010;0;0;0;0;2,87;3,03;0
20210123:2110;0;0;0;0;2,52;3,1;0
20210123:2210;0;0;0;0;2,08;3,03;0
20210123:2310;0;0;0;0;1,68;2,55;0
20210124:0010;0;0;0;0;1,09;1,66;0
20210124:0110;0;0;0;0;0,87;0,69;0
20210124:0210;0;0;0;0;0,68;2,9;0
20210124:0310;0;0;0;0;0,59;4,48;0
20210124:0410;0;0;0;0;0,48;5,31;0
20210124:0510;0;0;0;0;0,41;5,52;0
20210124:0610;0;0;0;0;0,39;5,45;0
20210124:0710;0;0;0;0;0,62;6,21;0
20210124:0810;8,27;0,00827;20,01;5,78;0,66;5,72;0
20210124:0910;53,04;0,05304;74,93;12,23;0,81;5,1;0
20210124:1010;46,94;0,04694;68,2;16,94;1,18;5,79;0
20210124:1110;75,29;0,07529;100,3;19,48;1,33;4,69;0
20210124:1210;78,35;0,07835;103,92;19,6;1,72;4,14;0
20210124:1310;296,42;0,29642;338,64;17,29;1,91;3,66;0
20210124:1410;204,28;0,20428;239,92;12,78;1,96;2,69;0
20210124:1510;81,76;0,08176;107,89;6,47;1,18;2,41;0
20210124:1610;0;0;0;0;0,55;1,86;0
20210124:1710;0;0;0;0;-0,33;1,66;0
20210124:1810;0;0;0;0;-1,23;1,93;0
20210124:1910;0;0;0;0;-1,2;2,28;0
20210124:2010;0;0;0;0;-1,05;2,62;0
20210124:2110;0;0;0;0;-0,79;2,76;0
20210124:2210;0;0;0;0;-0,59;2,97;0
20210124:2310;0;0;0;0;-0,36;3,17;0
20210125:0010;0;0;0;0;-0,19;3,24;0
20210125:0110;0;0;0;0;-0,27;2,97;0
20210125:0210;0;0;0;0;-0,17;2,62;0
20210125:0310;0;0;0;0;-0,22;2,28;0
20210125:0410;0;0;0;0;-0,33;1,86;0
20210125:0510;0;0;0;0;-0,6;1,52;0
20210125:0610;0;0;0;0;-0,91;0,97;0
20210125:0710;0;0;0;0;-1,06;0,83;0
20210125:0810;4,16;0,00416;13,64;5,96;-0,32;0,14;0
20210125:0910;11,55;0,01155;24,55;12,43;-0,75;0,69;0
20210125:1010;68,48;0,06848;92,3;17,16;-0,53;1,38;0
20210125:1110;39,2;0,0392;59,11;19,71;0,22;1,66;0
20210125:1210;212,74;0,21274;248,65;19,85;0,6;2;0
20210125:1310;122,47;0,12247;151,55;17,54;0,83;2,34;0
20210125:1410;25,47;0,02547;42,74;13,03;1,15;2,62;0
20210125:1510;90,84;0,09084;117,9;6,71;1,01;2,34;0
20210125:1610;0;0;0;0;0,63;2;0
20210125:1710;0;0;0;0;0,11;2,07;0
20210125:1810;0;0;0;0;-0,39;2,41;0
20210125:1910;0;0;0;0;-0,78;2,76;0
20210125:2010;0;0;0;0;-0,66;3,1;0
20210125:2110;0;0;0;0;-0,1;3,72;0
20210125:2210;0;0;0;0;0,47;4,21;0
20210125:2310;0;0;0;0;0,82;4,83;0
20210126:0010;0;0;0;0;1,1;5,38;0
20210126:0110;0;0;0;0;0,97;5,66;0
20210126:0210;0;0;0;0;0,97;5,79;0
20210126:0310;0;0;0;0;0,84;5,93;0
20210126:0410;0;0;0;0;1,01;6,28;0
20210126:0510;0;0;0;0;1,09;6,48;0
20210126:0610;0;0;0;0;1,13;6,48;0
20210126:0710;0;0;0;0;0,85;5,79;0
20210126:0810;1,6;0,0016;9,09;6,14;0,75;5,66;0
20210126:0910;70,37;0,07037;94,28;12,64;0,97;4,83;0
20210126:1010;270,75;0,27075;309,56;17,38;1,32;4,14;0
20210126:1110;82,36;0,08236;108,45;19,96;1,93;4,41;0
20210126:1210;197,18;0,19718;231,95;20,1;2,31;5,03;0
20210126:1310;96,29;0,09629;123,78;17,79;2,56;4,97;0
20210126:1410;48,83;0,04883;70,7;13,28;2,48;4,41;0
20210126:1510;1,57;0,00157;9,09;6,96;2,53;4,07;0
20210126:1610;0;0;0;0;2,17;3,38;0
20210126:1710;0;0;0;0;1,76;2,83;0
20210126:1810;0;0;0;0;1,36;2,55;0
20210126:1910;0;0;0;0;0,97;2,55;0
20210126:2010;0;0;0;0;1,1;2,48;0
20210126:2110;0;0;0;0;1,17;2,41;0
20210126:2210;0;0;0;0;1,18;2,28;0
20210126:2310;0;0;0;0;0,85;2,21;0
20210127:0010;0;0;0;0;0,16;2,48;0
20210127:0110;0;0;0;0;0,28;2,76;0
20210127:0210;0;0;0;0;0,47;3,17;0
20210127:0310;0;0;0;0;0,57;3,1;0
20210127:0410;0;0;0;0;0,59;3,24;0
20210127:0510;0;0;0;0;0,62;3,45;0
20210127:0610;0;0;0;0;0,78;3,59;0
20210127:0710;0;0;0;0;0,74;3,38;0
20210127:0810;6,44;0,00644;17,28;6,33;0,57;3,31;0
20210127:0910;102,04;0,10204;128,8;12,85;0,74;3,1;0
20210127:1010;65,54;0,06554;89,48;17,61;1,28;2,9;0
20210127:1110;38,22;0,03822;58,2;20,21;1,51;2,55;0
20210127:1210;57,65;0,05765;80,93;20,36;2,1;2,34;0
20210127:1310;43,39;0,04339;64,57;18,05;2,69;2,62;0
20210127:1410;45,42;0,04542;66,98;13,53;3,27;3,45;0
20210127:1510;131,4;0,1314;164,02;7,21;3,74;3,59;0
20210127:1610;0;0;0;0;3,94;3,31;0
20210127:1710;0;0;0;0;4,01;2,9;0
20210127:1810;0;0;0;0;4,07;2,9;0
20210127:1910;0;0;0;0;3,58;3,17;0
20210127:2010;0;0;0;0;3,97;3,31;0
20210127:2110;0;0;0;0;4,47;3,24;0
20210127:2210;0;0;0;0;4,61;3,17;0
20210127:2310;0;0;0;0;4,54;3,03;0
20210128:0010;0;0;0;0;4,59;2,76;0
20210128:0110;0;0;0;0;4,4;2,55;0
20210128:0210;0;0;0;0;4,37;2,34;0
20210128:0310;0;0;0;0;4,27;2,21;0
20210128:0410;0;0;0;0;4,13;2,21;0
20210128:0510;0;0;0;0;3,97;2,28;0
20210128:0610;0;0;0;0;4,02;2,48;0
20210128:0710;0;0;0;0;3,97;2,76;0
20210128:0810;3;0,003;11,82;6,53;4;2,97;0
20210128:0910;5,15;0,00515;15,46;13,07;4,22;2,76;0
20210128:1010;48,32;0,04832;70,93;17,85;4,76;2,21;0
20210128:1110;19,9;0,0199;36,38;20,46;5,7;1,86;0
20210128:1210;12,37;0,01237;26,37;20,62;6,77;2,34;0
20210128:1310;58,42;0,05842;83,66;18,32;8,01;3,66;0
20210128:1410;19,61;0,01961;36,38;13,8;8,72;4,41;0
20210128:1510;13,54;0,01354;28,19;7,46;8,83;4,55;0
20210128:1610;0;0;0;0;8,67;4,48;0
20210128:1710;0;0;0;0;8,33;3,93;0
20210128:1810;0;0;0;0;7,89;3,38;0
20210128:1910;0;0;0;0;6,07;1,17;0
20210128:2010;0;0;0;0;6,06;1,03;0
20210128:2110;0;0;0;0;6,18;1,17;0
20210128:2210;0;0;0;0;6,74;2,07;0
20210128:2310;0;0;0;0;7,76;3,38;0
20210129:0010;0;0;0;0;8,18;2,9;0
20210129:0110;0;0;0;0;7,98;2,14;0
20210129:0210;0;0;0;0;7,53;2,62;0
20210129:0310;0;0;0;0;7,43;2,97;0
20210129:0410;0;0;0;0;7,97;2,9;0
20210129:0510;0;0;0;0;8,44;3,52;0
20210129:0610;0;0;0;0;9,03;7,79;0
20210129:0710;0;0;0;0;9,01;7,66;0
20210129:0810;10,35;0,01035;23,64;6,74;8,72;7,72;0
20210129:0910;42,17;0,04217;64,38;13,29;8,68;8,14;0
20210129:1010;86,97;0,08697;116,03;18,1;8,38;7,86;0
20210129:1110;61,35;0,06135;87,3;20,72;9,07;6,55;0
20210129:1210;653,75;0,65375;756,58;20,89;8,83;6,83;0
20210129:1310;581,33;0,58133;672,87;18,59;9,17;6,34;0
20210129:1410;172,24;0,17224;210,27;14,06;8,96;6,21;0
20210129:1510;64,34;0,06434;90,62;7,71;8,61;5,52;0
20210129:1610;0;0;0;0;7,74;4,21;0
20210129:1710;0;0;0;0;7,1;4;0
20210129:1810;0;0;0;0;6,71;4,41;0
20210129:1910;0;0;0;0;6,93;4,83;0
20210129:2010;0;0;0;0;6,68;5,45;0
20210129:2110;0;0;0;0;6,84;6,21;0
20210129:2210;0;0;0;0;6,89;6,28;0
20210129:2310;0;0;0;0;6,8;6,14;0
20210130:0010;0;0;0;0;6,64;5,79;0
20210130:0110;0;0;0;0;6,17;4,83;0
20210130:0210;0;0;0;0;5,43;3,79;0
20210130:0310;0;0;0;0;4,17;3,1;0
20210130:0410;0;0;0;0;2,39;2,76;0
20210130:0510;0;0;0;0;1,09;2,69;0
20210130:0610;0;0;0;0;0,49;2,48;0
20210130:0710;0;0;0;0;0,72;2,28;0
20210130:0810;8,26;0,00826;20,01;6,95;0,71;2,34;0
20210130:0910;41,45;0,04145;61,84;13,52;0,83;2,62;0
20210130:1010;128,92;0,12892;158,47;18,35;1,1;3,17;0
20210130:1110;68,33;0,06833;92,76;20,99;1,45;3,31;0
20210130:1210;87,18;0,08718;113,76;21,17;1,61;3,66;0
20210130:1310;80,92;0,08092;106,77;18,86;1,76;3,59;0
20210130:1410;144,79;0,14479;175,6;14,33;1,95;3,66;0
20210130:1510;36,09;0,03609;55,69;7,97;1,84;3,38;0
20210130:1610;0;0;0;0;1,54;3,52;0
20210130:1710;0;0;0;0;1,25;3,45;0
20210130:1810;0;0;0;0;1,07;3,52;0
20210130:1910;0;0;0;0;0,55;3,24;0
20210130:2010;0;0;0;0;0,5;3,1;0
20210130:2110;0;0;0;0;0,43;2,9;0
20210130:2210;0;0;0;0;0,18;3,03;0
20210130:2310;0;0;0;0;-0,03;2,83;0
20210131:0010;0;0;0;0;-0,73;2,69;0
20210131:0110;0;0;0;0;-0,88;2,55;0
20210131:0210;0;0;0;0;-1,2;2,41;0
20210131:0310;0;0;0;0;-1,58;2,41;0
20210131:0410;0;0;0;0;-1,96;2,41;0
20210131:0510;0;0;0;0;-2,38;2,41;0
20210131:0610;0;0;0;0;-2,68;2,41;0
20210131:0710;0;0;0;0;-3,01;2,41;0
20210131:0810;271,99;0,27199;311,33;7,17;-2,73;2,41;0
20210131:0910;461,34;0,46134;518,94;13,76;-1,13;2,48;0
20210131:1010;447,58;0,44758;504,98;18,6;0,36;2,9;0
20210131:1110;345,54;0,34554;393,38;21,26;1,54;3,03;0
20210131:1210;664;0,664;765,59;21,44;2,53;3,17;0
20210131:1310;619,04;0,61904;713,1;19,14;3,17;3,1;0
20210131:1410;456,63;0,45663;521,91;14,6;3,44;3,38;0
20210131:1510;92,87;0,09287;120,86;8,23;3,19;3,1;0
20210131:1610;0;0;0;0;2,27;2,9;0
20210131:1710;0;0;0;0;1,83;3,24;0
20210131:1810;0;0;0;0;1,7;3,66;0
20210131:1910;0;0;0;0;1,31;4,14;0
20210131:2010;0;0;0;0;1,39;4,07;0
20210131:2110;0;0;0;0;1,42;4,07;0
20210131:2210;0;0;0;0;1,55;4,14;0
20210131:2310;0;0;0;0;1,61;4,14;0
20210201:0010;0;0;0;0;1,76;4,07;0
20210201:0110;0;0;0;0;1,97;4;0
20210201:0210;0;0;0;0;2,21;3,79;0
20210201:0310;0;0;0;0;2,43;3,66;0
20210201:0410;0;0;0;0;2,66;3,59;0
20210201:0510;0;0;0;0;2,85;3,52;0
20210201:0610;0;0;0;0;2,97;3,31;0
20210201:0710;0;0;0;0;2,52;2,83;0
20210201:0810;54,19;0,05419;76,95;7,39;2,69;2,69;0
20210201:0910;129,66;0,12966;160,24;14;3,01;2,48;0
20210201:1010;101,97;0,10197;130,8;18,86;3,28;2,28;0
20210201:1110;125,79;0,12579;157,5;21,53;3,6;1,79;0
20210201:1210;94,05;0,09405;122,85;21,73;4;1,52;0
20210201:1310;60;0,06;84,57;19,43;4,53;0,97;0
20210201:1410;157,6;0,1576;193,19;14,88;4,87;0,76;0
20210201:1510;9,92;0,00992;22,73;8,5;4,83;0,83;0
20210201:1610;0;0;0;0;4,68;1,38;0
20210201:1710;0;0;0;0;4,42;1,86;0
20210201:1810;0;0;0;0;4,2;2,28;0
20210201:1910;0;0;0;0;3,64;2,69;0
20210201:2010;0;0;0;0;3,2;2,69;0
20210201:2110;0;0;0;0;2,9;2,83;0
20210201:2210;0;0;0;0;2,63;2,76;0
20210201:2310;0;0;0;0;2,5;2,41;0
20210202:0010;0;0;0;0;2,49;2,76;0
20210202:0110;0;0;0;0;2,55;2,76;0
20210202:0210;0;0;0;0;2,48;2,28;0
20210202:0310;0;0;0;0;2,58;2;0
20210202:0410;0;0;0;0;2,64;1,38;0
20210202:0510;0;0;0;0;2,56;1,31;0
20210202:0610;0;0;0;0;2,39;1,93;0
20210202:0710;0;0;0;0;3,51;2,48;0
20210202:0810;68,16;0,06816;93,23;7,62;3,85;2,97;0
20210202:0910;183,86;0,18386;219,64;14,25;4,43;3,59;0
20210202:1010;36,83;0,03683;57,29;19,13;5,06;3,79;0
20210202:1110;57,45;0,05745;81,84;21,82;5,99;3,93;0
20210202:1210;22,54;0,02254;40,01;22,02;7,43;3,52;0
20210202:1310;24,48;0,02448;42,74;19,71;8,97;4,07;0
20210202:1410;21,6;0,0216;39,1;15,15;9,64;4,69;0
20210202:1510;35,24;0,03524;56,39;8,77;9,99;4,48;0
20210202:1610;0;0;0;0;9,98;4,21;0
20210202:1710;0;0;0;0;9,75;3,86;0
20210202:1810;0;0;0;0;9,35;3,52;0
20210202:1910;0;0;0;0;9,49;3,52;0
20210202:2010;0;0;0;0;9,31;2,83;0
20210202:2110;0;0;0;0;9,3;3,45;0
20210202:2210;0;0;0;0;9,29;3,86;0
20210202:2310;0;0;0;0;8,92;3,79;0
20210203:0010;0;0;0;0;9,43;3,79;0
20210203:0110;0;0;0;0;9,69;3,86;0
20210203:0210;0;0;0;0;9,3;3,93;0
20210203:0310;0;0;0;0;8,97;3,79;0
20210203:0410;0;0;0;0;8,79;3,79;0
20210203:0510;0;0;0;0;8,65;3,59;0
20210203:0610;0;0;0;0;8,61;3,1;0
20210203:0710;0;0;0;0;9,13;3,1;0
20210203:0810;1,06;0,00106;8,18;7,85;8,91;2,55;0
20210203:0910;77,96;0,07796;106,37;14,5;8,99;2,28;0
20210203:1010;33,83;0,03383;54,56;19,4;9,25;2,76;0
20210203:1110;68,83;0,06883;96,39;22,1;9,62;3,66;0
20210203:1210;66,3;0,0663;93,67;22,31;10,45;4,9;0
20210203:1310;116,58;0,11658;151,18;20;11,38;5,79;0
20210203:1410;40,76;0,04076;63,66;15,44;12,09;6,14;0
20210203:1510;249,06;0,24906;302,91;9,04;11,66;5,17;0
20210203:1610;0;0;0;0;10,86;4,48;0
20210203:1710;0;0;0;0;9,93;4,83;0
20210203:1810;0;0;0;0;9,78;5,31;0
20210203:1910;0;0;0;0;8,83;3,52;0
20210203:2010;0;0;0;0;8,72;4,69;0
20210203:2110;0;0;0;0;8,28;6,07;0
20210203:2210;0;0;0;0;7,57;6,97;0
20210203:2310;0;0;0;0;7,22;6,55;0
20210204:0010;0;0;0;0;6,97;6,28;0
20210204:0110;0;0;0;0;6,73;5,31;0
20210204:0210;0;0;0;0;6,46;5,17;0
20210204:0310;0;0;0;0;6,19;4,9;0
20210204:0410;0;0;0;0;5,92;4,28;0
20210204:0510;0;0;0;0;5,4;3,59;0
20210204:0610;0;0;0;0;5,3;3,31;0
20210204:0710;0;0;0;0;5,04;3,1;0
20210204:0810;277,06;0,27706;327,78;8,09;5,49;2,83;0
20210204:0910;495,85;0,49585;577,23;14,76;6,31;2,76;0
20210204:1010;634,44;0,63444;742,34;19,68;7,45;3,86;0
20210204:1110;634,45;0,63445;750,25;22,4;8,31;3,24;0
20210204:1210;386,94;0,38694;454,8;22,61;8,89;2,97;0
20210204:1310;390,56;0,39056;460,45;20,3;9,46;2,76;0
20210204:1410;461,76;0,46176;551,49;15,72;9,56;1,52;0
20210204:1510;273,02;0,27302;333,8;9,31;9,54;0,62;0
20210204:1610;0;0;0;0;8,73;1,72;0
20210204:1710;0;0;0;0;7,55;2,21;0
20210204:1810;0;0;0;0;6,72;2,34;0
20210204:1910;0;0;0;0;5,77;2,62;0
20210204:2010;0;0;0;0;5,9;2,41;0
20210204:2110;0;0;0;0;5,9;2,62;0
20210204:2210;0;0;0;0;5,72;2,48;0
20210204:2310;0;0;0;0;5,99;2,76;0
20210205:0010;0;0;0;0;6,14;2,97;0
20210205:0110;0;0;0;0;5,88;3,24;0
20210205:0210;0;0;0;0;5,7;3,38;0
20210205:0310;0;0;0;0;5,69;3,38;0
20210205:0410;0;0;0;0;5,63;3,17;0
20210205:0510;0;0;0;0;5,41;3,03;0
20210205:0610;0;0;0;0;5,38;2,76;0
20210205:0710;0;0;0;0;5,24;2,9;0
20210205:0810;42,18;0,04218;63,74;8,33;5,51;2,55;0
20210205:0910;29,81;0,02981;49,11;15,03;6,72;1,93;0
20210205:1010;82,94;0,08294;112,04;19,96;7,93;1,86;0
20210205:1110;68,89;0,06889;96,39;22,69;9,01;2,07;0
20210205:1210;174,54;0,17454;216,3;22,91;9,94;2,28;0
20210205:1310;375,39;0,37539;447;20,6;10,64;2,14;0
20210205:1410;305,49;0,30549;366,7;16,01;10,78;1,66;0
20210205:1510;254,53;0,25453;312,44;9,58;10,8;1,17;0
20210205:1610;0;0;0,85;1,79;10,04;0,9;0
20210205:1710;0;0;0;0;7,69;1,86;0
20210205:1810;0;0;0;0;6,54;1,59;0
20210205:1910;0;0;0;0;5,9;1,93;0
20210205:2010;0;0;0;0;5,34;1,93;0
20210205:2110;0;0;0;0;5,13;1,93;0
20210205:2210;0;0;0;0;4,73;2;0
20210205:2310;0;0;0;0;4,93;2,14;0
20210206:0010;0;0;0;0;5,13;2,34;0
20210206:0110;0;0;0;0;5,19;2,69;0
20210206:0210;0;0;0;0;5,17;2,69;0
20210206:0310;0;0;0;0;5,28;2,76;0
20210206:0410;0;0;0;0;5,35;2,76;0
20210206:0510;0;0;0;0;5,37;2,76;0
20210206:0610;0;0;0;0;5,33;2,76;0
20210206:0710;0;0;0;0;5,98;2,83;0
20210206:0810;4;0,004;13,64;8,58;6,07;2,9;0
20210206:0910;103,52;0,10352;133,66;15,3;6,29;3,1;0
20210206:1010;52,66;0,05266;76,39;20,25;6,28;3,38;0
20210206:1110;64,43;0,06443;90,03;22,99;6,23;3,59;0
20210206:1210;63,8;0,0638;89,12;23,22;5,76;3,72;0
20210206:1310;44,39;0,04439;66,38;20,9;5,36;3,79;0
20210206:1410;121,27;0,12127;152,38;16,3;4,89;3,59;0
20210206:1510;8,1;0,0081;20,01;9,86;4,19;4,07;0
20210206:1610;0;0;0,85;2,06;3,63;4,21;0
20210206:1710;0;0;0;0;3,22;4,48;0
20210206:1810;0;0;0;0;2,87;4,76;0
20210206:1910;0;0;0;0;2,24;4,48;0
20210206:2010;0;0;0;0;1,66;4,69;0
20210206:2110;0;0;0;0;1,55;5,1;0
20210206:2210;0;0;0;0;1,53;4,9;0
20210206:2310;0;0;0;0;1,54;4,76;0
20210207:0010;0;0;0;0;1,48;5,03;0
20210207:0110;0;0;0;0;1,37;5,24;0
20210207:0210;0;0;0;0;1,31;5,52;0
20210207:0310;0;0;0;0;1,23;5,59;0
20210207:0410;0;0;0;0;1,07;5,52;0
20210207:0510;0;0;0;0;0,9;5,31;0
20210207:0610;0;0;0;0;0,58;5,1;0
20210207:0710;0;0;0;0;1,02;4,55;0
20210207:0810;7,02;0,00702;18,19;8,84;1,04;4,41;0
20210207:0910;14,12;0,01412;28,19;15,57;1,09;4,21;0
20210207:1010;19,69;0,01969;35,47;20,55;1,09;3,93;0
20210207:1110;37,5;0,0375;57,29;23,3;1,42;3,59;0
20210207:1210;40,45;0,04045;60,93;23,53;2,09;3,52;0
20210207:1310;80,74;0,08074;107,21;21,21;2,95;3,31;0
20210207:1410;174,39;0,17439;209,24;16,6;3,12;2,41;0
20210207:1510;73,07;0,07307;98,59;10,14;2,97;2,28;0
20210207:1610;0;0;2,54;2,32;2,35;2,69;0
20210207:1710;0;0;0;0;1,58;3,1;0
20210207:1810;0;0;0;0;0,88;3,45;0
20210207:1910;0;0;0;0;-0,2;3,17;0
20210207:2010;0;0;0;0;-0,55;3,38;0
20210207:2110;0;0;0;0;-1,03;3,52;0
20210207:2210;0;0;0;0;-1,25;3,45;0
20210207:2310;0;0;0;0;-1,5;3,38;0
20210208:0010;0;0;0;0;-1,79;3,45;0
20210208:0110;0;0;0;0;-2,17;3,45;0
20210208:0210;0;0;0;0;-2,52;3,59;0
20210208:0310;0;0;0;0;-2,93;3,59;0
20210208:0410;0;0;0;0;-3,3;3,72;0
20210208:0510;0;0;0;0;-3,66;3,86;0
20210208:0610;0;0;0;0;-3,89;3,79;0
20210208:0710;0;0;0;0;-4,3;3,31;0
20210208:0810;73,59;0,07359;96,15;9,1;-4,33;3,24;0
20210208:0910;15,21;0,01521;29,1;15,85;-4,11;3,31;0
20210208:1010;72,6;0,0726;95,49;20,84;-3,95;3,38;0
20210208:1110;44,78;0,04478;64,57;23,61;-3,71;3,24;0
20210208:1210;81,54;0,08154;105,49;23,85;-3,49;2,9;0
20210208:1310;88,13;0,08813;112,65;21,52;-3,32;3,03;0
20210208:1410;29,87;0,02987;47,29;16,89;-3,47;3,17;0
20210208:1510;25,35;0,02535;41,83;10,42;-3,66;3,17;0
20210208:1610;0;0;1,69;2,59;-3,99;2,97;0
20210208:1710;0;0;0;0;-4,42;2,97;0
20210208:1810;0;0;0;0;-4,73;2,97;0
20210208:1910;0;0;0;0;-5,27;3,03;0
20210208:2010;0;0;0;0;-5,48;2,97;0
20210208:2110;0;0;0;0;-5,65;2,69;0
20210208:2210;0;0;0;0;-5,79;2,48;0
20210208:2310;0;0;0;0;-6;2,69;0
20210209:0010;0;0;0;0;-6,35;2,83;0
20210209:0110;0;0;0;0;-6,62;2,83;0
20210209:0210;0;0;0;0;-6,94;2,83;0
20210209:0310;0;0;0;0;-7,11;2,76;0
20210209:0410;0;0;0;0;-7,51;2,62;0
20210209:0510;0;0;0;0;-7,76;2,48;0
20210209:0610;0;0;0;0;-7,99;2,48;0
20210209:0710;0;0;0;0;-7,8;2,34;0
20210209:0810;327,91;0,32791;364,26;9,37;-7,68;2,34;0
20210209:0910;548,47;0,54847;602,92;16,14;-7,06;2,41;0
20210209:1010;660,05;0,66005;734,74;21,15;-6,16;2,41;0
20210209:1110;646,6;0,6466;722,63;23,93;-5,15;2,48;0
20210209:1210;523,06;0,52306;579,6;24,17;-4,39;2,9;0
20210209:1310;354,81;0,35481;394,27;21,83;-4,21;2,76;0
20210209:1410;507,59;0,50759;563,97;17,19;-4,19;2,55;0
20210209:1510;319,05;0,31905;358,94;10,71;-4,6;2,97;0
20210209:1610;0,2;0,0002;5,93;2,86;-5,49;3,17;0
20210209:1710;0;0;0;0;-6,56;3,31;0
20210209:1810;0;0;0;0;-7,36;3,59;0
20210209:1910;0;0;0;0;-7,03;2,97;0
20210209:2010;0;0;0;0;-7,23;2,9;0
20210209:2110;0;0;0;0;-7,5;2,83;0
20210209:2210;0;0;0;0;-7,72;2,76;0
20210209:2310;0;0;0;0;-8;2,97;0
20210210:0010;0;0;0;0;-8,27;2,69;0
20210210:0110;0;0;0;0;-8,44;2,41;0
20210210:0210;0;0;0;0;-8,58;2,41;0
20210210:0310;0;0;0;0;-8,7;2,62;0
20210210:0410;0;0;0;0;-8,74;2,69;0
20210210:0510;0;0;0;0;-8,55;2,69;0
20210210:0610;0;0;0;0;-8,46;2,69;0
20210210:0710;0;0;0;0;-9,08;2,62;0
20210210:0810;369,36;0,36936;406,97;9,64;-8,6;2,62;0
20210210:0910;561,97;0,56197;615,31;16,43;-7,25;2,9;0
20210210:1010;719,48;0,71948;801,91;21,45;-5,66;3,1;0
20210210:1110;789,91;0,78991;888,55;24,25;-4,28;3,66;0
20210210:1210;483,08;0,48308;533,71;24,49;-3,09;4,28;0
20210210:1310;330,99;0,33099;369,22;22,15;-2,49;4,41;0
20210210:1410;276,2;0,2762;310,84;17,5;-2,4;4,48;0
20210210:1510;17,91;0,01791;32,74;10,99;-2,58;4,28;0
20210210:1610;7,2;0,0072;18,78;3,13;-2,77;3,72;0
20210210:1710;0;0;0;0;-3,07;2,76;0
20210210:1810;0;0;0;0;-3,46;2,41;0
20210210:1910;0;0;0;0;-3,82;2,55;0
20210210:2010;0;0;0;0;-3,88;2,48;0
20210210:2110;0;0;0;0;-3,95;2,41;0
20210210:2210;0;0;0;0;-4,03;2,41;0
20210210:2310;0;0;0;0;-4,14;2,28;0
20210211:0010;0;0;0;0;-4,27;2,14;0
20210211:0110;0;0;0;0;-4,57;2;0
20210211:0210;0;0;0;0;-4,73;1,93;0
