time;PV Erzeugung [W];PV Erzeugung [kW];G(i);H_sun;T2m;WS10m;Int
20210117:1410;26,67;0,02667;44,56;11,17;3,1;2,48;0
20210117:1510;3,53;0,00353;12,73;4,9;3,24;2,69;0
20210117:1610;0;0;0;0;2,77;2,76;0
20210117:1710;0;0;0;0;2,45;2,83;0
20210117:1810;0;0;0;0;2,43;2,76;0
20210117:1910;0;0;0;0;2,32;3,03;0
20210117:2010;0;0;0;0;2,1;3,31;0
20210117:2110;0;0;0;0;1,72;3,38;0
20210117:2210;0;0;0;0;1,67;3,38;0
20210117:2310;0;0;0;0;1,77;3,31;0
20210118:0010;0;0;0;0;2,03;3,38;0
20210118:0110;0;0;0;0;2,2;3,31;0
20210118:0210;0;0;0;0;2,37;3,17;0
20210118:0310;0;0;0;0;2,4;3,1;0
20210118:0410;0;0;0;0;2,28;3,1;0
20210118:0510;0;0;0;0;2,31;3,17;0
20210118:0610;0;0;0;0;2,41;3,31;0
20210118:0710;0;0;0;0;2,63;3,1;0
20210118:0810;53,2;0,0532;75,78;4,83;2,52;3,17;0
20210118:0910;57,39;0,05739;80,35;11,17;2,75;3,59;0
20210118:1010;98,54;0,09854;126,38;15,75;3,27;4;0
20210118:1110;334,35;0,33435;382,51;18,18;3,9;4,21;0
20210118:1210;332,82;0,33282;381,21;18,23;4,84;5,24;0
20210118:1310;259,38;0,25938;301,5;15,89;4,92;4,48;0
20210118:1410;4,03;0,00403;13,64;11,39;4,86;4,48;0
20210118:1510;101,81;0,10181;132,23;5,11;4,73;4,14;0
20210118:1610;0;0;0;0;4,36;4,07;0
20210118:1710;0;0;0;0;4,16;4,14;0
20210118:1810;0;0;0;0;3,93;4,07;0
20210118:1910;0;0;0;0;4,14;4,28;0
20210118:2010;0;0;0;0;4,17;4,34;0
20210118:2110;0;0;0;0;4,09;4;0
20210118:2210;0;0;0;0;3,95;3,79;0
20210118:2310;0;0;0;0;4,12;3,86;0
20210119:0010;0;0;0;0;4,21;4,14;0
20210119:0110;0;0;0;0;3,89;4,21;0
20210119:0210;0;0;0;0;3,56;4,34;0
20210119:0310;0;0;0;0;3,26;4,55;0
20210119:0410;0;0;0;0;3,34;4,83;0
20210119:0510;0;0;0;0;3,34;5,31;0
20210119:0610;0;0;0;0;3,47;5,79;0
20210119:0710;0;0;0;0;4,23;6,28;0
20210119:0810;4,59;0,00459;14,55;4,97;4,48;6,9;0
20210119:0910;13,2;0,0132;27,28;11,33;4,62;7,45;0
20210119:1010;16,56;0,01656;31,83;15,93;4,74;7,59;0
20210119:1110;20,71;0,02071;37,28;18,38;5,11;7,59;0
20210119:1210;35,3;0,0353;55,47;18,45;5,52;7,59;0
20210119:1310;20,62;0,02062;37,28;16,11;5,98;7,52;0
20210119:1410;9,85;0,00985;22,73;11,61;6,38;7,1;0
20210119:1510;0;0;4,55;5,33;6,51;6,34;0
20210119:1610;0;0;0;0;6,45;5,72;0
20210119:1710;0;0;0;0;6,26;5,31;0
20210119:1810;0;0;0;0;6,06;5,1;0
20210119:1910;0;0;0;0;5,26;4,83;0
20210119:2010;0;0;0;0;4,88;4,69;0
20210119:2110;0;0;0;0;4,57;4,48;0
20210119:2210;0;0;0;0;4,52;4,34;0
20210119:2310;0;0;0;0;4,66;4,48;0
20210120:0010;0;0;0;0;4,82;4,62;0
20210120:0110;0;0;0;0;5,02;4,76;0
20210120:0210;0;0;0;0;4,92;4,69;0
20210120:0310;0;0;0;0;4,69;4,48;0
20210120:0410;0;0;0;0;4,59;4,41;0
20210120:0510;0;0;0;0;4,5;4,62;0
20210120:0610;0;0;0;0;4,55;4,76;0
20210120:0710;0;0;0;0;5,39;5,1;0
20210120:0810;20,77;0,02077;37,47;5,12;5,96;5,03;0
20210120:0910;71,77;0,07177;97,82;11,5;6,66;5,03;0
20210120:1010;89,95;0,08995;118,84;16,12;7,34;5,52;0
20210120:1110;186,14;0,18614;225,07;18,59;8,17;5,79;0
20210120:1210;48,93;0,04893;72,75;18,66;9,21;5,52;0
20210120:1310;101,41;0,10141;132,88;16,33;9,75;5,17;0
20210120:1410;18,83;0,01883;35,47;11,83;9,71;5,03;0
20210120:1510;5,53;0,00553;16,37;5,55;9,86;5,03;0
20210120:1610;0;0;0;0;9,84;5,03;0
20210120:1710;0;0;0;0;9,85;5,1;0
20210120:1810;0;0;0;0;9,84;5,24;0
20210120:1910;0;0;0;0;9,24;5,52;0
20210120:2010;0;0;0;0;9,21;6,07;0
20210120:2110;0;0;0;0;9,28;6,34;0
20210120:2210;0;0;0;0;9,51;6,55;0
20210120:2310;0;0;0;0;9,69;6,97;0
20210121:0010;0;0;0;0;9,77;7,31;0
20210121:0110;0;0;0;0;9,84;7,52;0
20210121:0210;0;0;0;0;9,99;8;0
20210121:0310;0;0;0;0;10,21;8,62;0
20210121:0410;0;0;0;0;10,51;9,17;0
20210121:0510;0;0;0;0;10,42;9,24;0
20210121:0610;0;0;0;0;9,58;8,34;0
20210121:0710;0;0;0;0;8,41;6,83;0
20210121:0810;5,63;0,00563;16,37;5,27;6,96;4,76;0
20210121:0910;451,67;0,45167;520,96;11,67;6,3;3,93;0
20210121:1010;555,57;0,55557;642,12;16,31;6,89;4,28;0
20210121:1110;446,19;0,44619;515,6;18,8;7,64;4,55;0
