Datum     ;Uhrzeit   ;Zeit;Wärmemenge in kWh    
31.01.2019;12:00;31.01.2019 12:00;1400
31.01.2019;13:00;31.01.2019 13:00;1320
31.01.2019;14:00;31.01.2019 14:00;1410
31.01.2019;15:00;31.01.2019 15:00;1260
31.01.2019;16:00;31.01.2019 16:00;1410
31.01.2019;17:00;31.01.2019 17:00;1270
31.01.2019;18:00;31.01.2019 18:00;1370
31.01.2019;19:00;31.01.2019 19:00;1250
31.01.2019;20:00;31.01.2019 20:00;1410
31.01.2019;21:00;31.01.2019 21:00;1280
31.01.2019;22:00;31.01.2019 22:00;1340
31.01.2019;23:00;31.01.2019 23:00;1270
01.02.2019;00:00;01.02.2019 00:00;1170
01.02.2019;01:00;01.02.2019 01:00;1220
01.02.2019;02:00;01.02.2019 02:00;1120
01.02.2019;03:00;01.02.2019 03:00;1250
01.02.2019;04:00;01.02.2019 04:00;1150
01.02.2019;05:00;01.02.2019 05:00;1210
01.02.2019;06:00;01.02.2019 06:00;1380
01.02.2019;07:00;01.02.2019 07:00;1250
01.02.2019;08:00;01.02.2019 08:00;1500
01.02.2019;09:00;01.02.2019 09:00;1420
01.02.2019;10:00;01.02.2019 10:00;1270
01.02.2019;11:00;01.02.2019 11:00;1310
01.02.2019;12:00;01.02.2019 12:00;1200
01.02.2019;13:00;01.02.2019 13:00;1160
01.02.2019;14:00;01.02.2019 14:00;1140
01.02.2019;15:00;01.02.2019 15:00;1010
01.02.2019;16:00;01.02.2019 16:00;1100
01.02.2019;17:00;01.02.2019 17:00;1030
01.02.2019;18:00;01.02.2019 18:00;1180
01.02.2019;19:00;01.02.2019 19:00;1120
01.02.2019;20:00;01.02.2019 20:00;1270
01.02.2019;21:00;01.02.2019 21:00;1150
01.02.2019;22:00;01.02.2019 22:00;1230
01.02.2019;23:00;01.02.2019 23:00;1120
02.02.2019;00:00;02.02.2019 00:00;1020
02.02.2019;01:00;02.02.2019 01:00;1170
02.02.2019;02:00;02.02.2019 02:00;1020
02.02.2019;03:00;02.02.2019 03:00;1150
02.02.2019;04:00;02.02.2019 04:00;1100
02.02.2019;05:00;02.02.2019 05:00;1060
